OPC-N3 Iss1.1 FirmwareVer=1.17a_02c.......................BS
 OPC-N3 177091518                                           
Config info:
LaserDAC,53
FanDAC,255
ToFtoSFRfactor,62
PVP(us/48),48
BinNo,Bin0,Bin1,Bin2,Bin3,Bin4,Bin5,Bin6,Bin7,Bin8,Bin9,Bin10,Bin11,Bin12,Bin13,Bin14,Bin15,Bin16,Bin17,Bin18,Bin19,Bin20,Bin21,Bin22,Bin23
BoundaryADC,14,40,80,120,145,215,340,590,846,1363,2029,2848,4119,5527,7076,8624,10204,11815,13457,15897,18305,20698,22966,25140,27158
Boundary_um,0.350,0.460,0.660,1.000,1.300,1.700,2.300,3.000,4.000,5.200,6.500,8.000,10.000,12.000,14.000,16.000,18.000,20.000,22.000,25.000,28.000,31.000,34.000,37.000,40.000
BinWeighting,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650
DataRequestInterval(s),1.398
MaxDataArraysPerFile,61798
Data:
Bin0,Bin1,Bin2,Bin3,Bin4,Bin5,Bin6,Bin7,Bin8,Bin9,Bin10,Bin11,Bin12,Bin13,Bin14,Bin15,Bin16,Bin17,Bin18,Bin19,Bin20,Bin21,Bin22,Bin23,MToFBin1(us/3),MToFBin3,MToFBin5,MToFBin7,SamplingPeriod(s),SFR(ml/s),Temp(C),RH(%),PM_1.000(ug/m^3),PM_2.500(ug/m^3),PM_10.000(ug/m^3),#RjtGlitch,#RjtLong,#RjtRatio,#RjtRange,#FanRevs,LaserStatus
44,2,6,0,2,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,38,0,0.680,3.550,24.228,43.954,2.637,15.727,52.181,3,0,42,5,0,583
28,5,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,33,42,0.680,3.550,24.242,43.838,1.486,12.763,56.526,7,0,38,5,0,583
43,5,4,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,33,0,0,0.680,3.600,24.242,43.696,3.065,8.713,9.437,11,0,44,3,0,584
36,4,1,1,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,31,32,0,0.680,3.650,24.242,43.574,2.467,10.507,12.635,8,0,48,3,0,584
47,5,3,1,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,29,48,0,0.680,3.550,24.242,43.503,3.048,12.339,17.177,7,0,35,8,0,584
41,5,3,3,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,32,36,0,0.680,3.500,24.255,43.622,2.975,11.369,14.054,3,0,38,6,0,584
25,5,3,2,6,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,39,35,0,0,0.680,3.410,24.284,43.687,2.909,12.352,108.146,6,0,39,3,0,583
29,4,3,3,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,34,34,0,0.680,3.480,24.284,43.748,2.782,9.294,10.632,4,0,35,5,0,583
37,6,1,2,4,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,33,43,0,0.680,3.560,24.284,43.793,2.675,12.411,42.174,8,0,46,8,0,583
22,5,4,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,31,0,0,0.680,3.560,24.298,43.807,2.469,5.197,5.392,8,0,44,3,0,582
